Name,Price,Description,Extra,Image URL
BR)꼬다리콘(베리스트로베리),"4,000원","(2,667원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8809288635728_002.jpg
BR)꼬다리콘(초콜릿무스),"4,000원","(2,667원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8809288635735_002.jpg
BR)레인보우샤베트과즙워터500ML,"2,500원","(1,250원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8809288634967_001.jpg
BR)레인보우샤베트워터500,"2,500원","(1,250원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8809288634967.jpg
BR)리브레아메리카노300ml,"2,900원","(1,450원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635438.JPG
BR)리브레커피블랙300ML,"2,900원","(1,450원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8809288635438_001.jpg
BR)리브레커피플랫화이트300ML,"2,900원","(1,450원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8809288635445_001.jpg
BR)리브레플랫화이트300ml,"2,900원","(1,450원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635445.JPG
BR)망고탱고과즙워터500ML,"2,500원","(1,250원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8809288635315_003.jpg
BR)망고탱고워터P500,"2,500원","(1,250원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8809288635315.png
BR)메롱멜론190ml,"1,400원",(933원),2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635001.JPG
BR)민트초코우유190ml,"1,400원",(933원),2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288633038.JPG
BR)바나나쥬빌레콘60g(20),"1,700원","(1,133원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635858.JPG
BR)바나나쥬빌레크런치(봉지),"1,700원","(1,133원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8809288635858_002.jpg
BR)베리베리스트로베리우유190ml,"1,400원",(933원),2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288633045.JPG
BR)베리베리스트로베리초코볼32g,"2,000원","(1,000원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635131.JPG
BR)아몬드봉봉밀키드링크300ML,"2,900원","(1,933원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8809288635384_004.jpg
BR)아몬드봉봉밀키드링크300ml,"2,900원","(1,933원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635384.JPG
BR)엄마는외계인밀키드링크300ML,"2,900원","(1,933원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8809288635377_004.jpg
BR)엄마는외계인밀키드링크300ml,"2,900원","(1,933원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288635377.JPG
BR)엄마는외계인초코볼32g,"2,000원","(1,000원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288633281.JPG
BR)이상한나라의솜사탕우유190ml,"1,400원",(933원),2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288633595.JPG
BR)쿠키앤크림우유190ml,"1,400원",(933원),2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809288633052.JPG
BR)피치요거트과즙워터500ML,"2,500원","(1,250원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8809288634974_001.jpg
BR)피치요거트워터P500,"2,500원","(1,250원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8809288634974.jpg
CJ)100%현미밥130g,"2,600원","(1,300원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801392023200.jpg
CJ)100%현미밥130g*3입,"7,500원","(3,750원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007327372.jpg
CJ)BIG김치날치알밥(컵밥),"5,400원","(3,600원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8801007894911_003.jpg
CJ)BIG스팸김치덮밥(컵밥),"5,400원","(3,600원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8801007894898_001.jpg
CJ)BIG치즈닭갈비덮밥(컵밥),"5,400원","(3,600원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8801007921235_002.jpg
CJ)가쓰오우동(용기),"3,900원","(2,600원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8801007009377_381.jpg
CJ)가쓰오우동컵,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007009377.jpg
CJ)가쓰오우동한그릇용기면222.5g,"3,900원","(2,600원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007009377.JPG
CJ)갈비만두300G,"6,900원","(3,450원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8801007508740_003.jpg
CJ)계산대용소시지25G,"1,200원",(600원),1+1,https://image.woodongs.com/imgsvr/item/GD_8801392059636_002.jpg
CJ)고기수제만두4입,"4,400원","(2,933원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007836294.png
CJ)고메소바바순살치킨180g,"5,900원","(3,933원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392056482.JPG
CJ)고메오리지널핫도그80g,"3,500원","(1,750원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392090042.JPG
CJ)고메치즈함박152g,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007772493.png
CJ)고메토마토미트볼147g,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007626994.jpg
CJ)고메함박152g,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007626970.jpg
CJ)고소치즈후랑크65G,"2,300원","(1,150원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8801392090516_001.jpg
CJ)구이한판그릴스모크60G,"3,300원","(1,650원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8801007918310_002.jpg
CJ)구이한판그릴스모크60g,"3,300원","(1,650원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007918310.jpg
CJ)구이한판스모크60g,"3,300원","(1,650원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007918310.JPG
CJ)국산콩두부부침용380G,"5,900원","(2,950원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007034287.JPG
CJ)국산콩두부찌개용380G,"5,900원","(2,950원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007009322.JPG
CJ)국산콩부침두부380G,"5,900원","(2,950원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8801007034287_289.jpg
CJ)국산콩찌개두부380G,"5,900원","(2,950원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8801007009322_324.jpg
CJ)김치수제만두4입,"4,400원","(2,933원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007836270.png
CJ)다담떡볶이양념150g,"3,300원","(2,200원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007434681.jpg
CJ)닭가슴살샐러드톡톡96g,"4,500원","(2,250원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007966878.JPG
CJ)닭가슴살샐러드톡톡96g,"4,500원","(2,250원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007966878.jpg
CJ)닭가슴살소시지2입,"4,500원","(3,000원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007882703.jpg
CJ)닭가슴살소시지바80g,"2,900원","(1,933원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007899985.jpg
CJ)닭가슴살소시지청양80g,"2,900원","(1,933원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007951805.jpg
CJ)닭가슴살소시지핫바80g,"2,900원","(1,933원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007899985.JPG
CJ)닭가슴살순살케이준100,"4,500원","(3,000원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801392033223.jpg
CJ)닭가슴살순살케이준100g,"4,500원","(3,000원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392033223.JPG
CJ)닭가슴살스테이크100g,"4,500원","(3,000원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007880402.jpg
CJ)닭가슴살직화스테이크100g,"4,500원","(3,000원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007880402.JPG
CJ)닭가슴살청양고추핫바80g,"2,900원","(1,933원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007951805.JPG
CJ)닭가슴살한입소시지120g,"4,500원","(3,000원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392001710.JPG
CJ)도가니곰탕460g,"9,900원","(6,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007923000.png
CJ)동그란스팸160G,"5,500원","(2,750원)",1+1,https://image.woodongs.com/imgsvr/item/GD_8801392088230_002.jpg
CJ)동그란스팸160g,"5,500원","(2,750원)",1+1,http://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
CJ)동그란스팸160g,"5,500원","(2,750원)",1+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392088230.JPG
CJ)동치미냉면육수294g,"2,000원","(1,000원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007033686.jpg
CJ)두부듬뿍김치찌개460g,"9,900원","(4,950원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007528557.jpg
CJ)두부듬뿍된장찌개460g,"9,900원","(4,950원)",1+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007528595.jpg
CJ)렌틸콩퀴노아곤약밥,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801392076237.jpg
CJ)렌틸콩퀴노아곤약밥150g,"3,900원","(2,600원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392076237.JPG
CJ)맛군밤60G,"3,900원","(2,600원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8801007427386_002.jpg
CJ)맛군밤60g,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007427386.jpg
CJ)맛군밤60g,"3,900원","(2,600원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007427386.JPG
CJ)맛밤42g,"2,400원","(1,600원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007073453.JPG
CJ)맛밤42g,"2,400원","(1,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007073453.jpg
CJ)맛밤80G,"3,900원","(2,600원)",2+1,https://image.woodongs.com/imgsvr/item/GD_8801007022635_639.jpg
CJ)맛밤80g,"3,900원","(2,600원)",2+1,https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007022635.JPG
CJ)맛밤80g,"3,900원","(2,600원)",2+1,//tqklhszfkvzk6518638.edge.naverncp.com/product/8801007022635.jpg
